clustering_prop,cluster
0.1,1
0.25,2
0.36,3
0.38,4
0.29,5
0.33,6
0.39,7
0.36,8
0.35,9
0.36,10
0.48,11
0.53,12
0.18,13
0.96,14
0.88,15
0.71,16
0.46,17
0.41,18
0.48,19
0.3,20
0.11,21
0.28,22
0.32,23
0.27,24
0.27,25
0.32,26
0.33,27
0.31,28
0.22,29
0.26,30
0.31,31
0.29,32
0.83,33
0.73,34
1,35
0.9,36
0.62,37
0.55,38
0.52,39
0.55,40
0.1,41
0.15,42
0.16,43
0.26,44
0.23,45
0.25,46
0.26,47
0.3,48
0.32,49
0.14,50
0.28,51
0.27,52
0.63,53
0.6,54
0.58,55
0.51,56
0.53,57
0.28,58
0.48,59
0.48,60
0.19,61
0.2,62
0.2,63
0.1,64
0.23,65
0.27,66
0.2,67
0.28,68
0.21,69
0.26,70
0.22,71
0.36,72
0.37,73
0.5,74
0.42,75
0.51,76
0.51,77
0.49,78
0.25,79
0.37,80
0.18,81
0.2,82
0.22,83
0.19,84
0.13,85
0.23,86
0.1,87
0.2,88
0.25,89
0.28,90
0.42,91
0.64,92
0.65,93
0.52,94
0.33,95
0.31,96
0.34,97
0.33,98
0.38,99
0.52,100
0.12,101
0.16,102
0.18,103
0.11,104
0.11,105
0.13,106
0.24,107
0.21,108
0.28,109
0.33,110
0.49,111
0.28,112
0.48,113
0.54,114
0.4,115
0.23,116
0.31,117
0.14,118
0.24,119
0.32,120
0.09,121
0.12,122
0.21,123
0.22,124
0.1,125
0.17,126
0.22,127
0.26,128
0.25,129
0.4,130
0.28,131
0.38,132
0.36,133
0.45,134
0.18,135
0.37,136
0.19,137
0.17,138
0.29,139
0.37,140
0.14,141
0.12,142
0.1,143
0.21,144
0.26,145
0.17,146
0.17,147
0.19,148
0.25,149
0.34,150
0.17,151
0.29,152
0.39,153
0.23,154
0.19,155
0.23,156
0.28,157
0.22,158
0.17,159
0.43,160
0.11,161
0.13,162
0.06,163
0.08,164
0.14,165
0.09,166
0.13,167
0.13,168
0.24,169
0.26,170
0.36,171
0.32,172
0.3,173
0.16,174
0.22,175
0.07,176
0.32,177
0.29,178
0.27,179
0.33,180
0.12,181
0.15,182
0.06,183
0.07,184
0.1,185
0.08,186
0.07,187
0.08,188
0.15,189
0.29,190
0.29,191
0.23,192
0.13,193
0.19,194
0.17,195
0.27,196
0.24,197
0.19,198
0.1,199
0.34,200
0.07,201
0.17,202
0.12,203
0.09,204
0.08,205
0.06,206
0.08,207
0.21,208
0.23,209
0.24,210
0.32,211
0.2,212
0.16,213
0.21,214
0.2,215
0.07,216
0.22,217
0.21,218
0.18,219
0.2,220
0.11,221
0.12,222
0.12,223
0.16,224
0.16,225
0.13,226
0.13,227
0.18,228
0.18,229
0.25,230
0.29,231
0.33,232
0.23,233
0.14,234
0.17,235
0.08,236
0.14,237
0.14,238
0.13,239
0.11,240
0.1,241
0.16,242
0.15,243
0.14,244
0.16,245
0.21,246
0.26,247
0.17,248
0.17,249
0.22,250
0.21,251
0.35,252
0.33,253
0.28,254
0.2,255
0.28,256
0.21,257
0.18,258
0.19,259
0.09,260
0.11,261
0.1,262
0.09,263
0.15,264
0.12,265
0.19,266
0.23,267
0.24,268
0.23,269
0.27,270
0.26,271
0.35,272
0.56,273
0.43,274
0.28,275
0.32,276
0.21,277
0.24,278
0.21,279
0.11,280
0.09,281
0.11,282
0.12,283
0.16,284
0.18,285
0.24,286
0.28,287
0.28,288
0.29,289
0.41,290
0.27,291
0.36,292
0.48,293
0.44,294
0.42,295
0.4,296
0.26,297
0.11,298
0.07,299
0.03,300
0.1,301
0.12,302
0.12,303
0.21,304
0.2,305
0.28,306
0.33,307
0.13,308
0.33,309
0.34,310
0.24,311
0.36,312
0.33,313
0.35,314
0.31,315
0.34,316
0.18,317
0.18,318
0.05,319
0.11,320
0.09,321
0.12,322
0.1,323
0.18,324
0.2,325
0.27,326
0.09,327
0.28,328
0.24,329
0.12,330
0.15,331
0.27,332
0.35,333
0.36,334
0.17,335
0.18,336
0.33,337
0.29,338
0.22,339
0.15,340
0.14,341
0.19,342
0.13,343
0.2,344
0.28,345
0.08,346
0.31,347
0.24,348
0.14,349
0.16,350
0.25,351
0.37,352
0.3,353
0.34,354
0.37,355
0.33,356
0.33,357
0.13,358
0.3,359
0.15,360
0.13,361
0.13,362
0.24,363
0.23,364
0.1,365
0.28,366
0.25,367
0.15,368
0.1,369
0.11,370
0.16,371
0.29,372
0.32,373
0.22,374
0.31,375
0.2,376
0.28,377
0.25,378
0.23,379
0.13,380
0.08,381
0.14,382
0.15,383
0.16,384
0.22,385
0.06,386
0.09,387
0.08,388
0.12,389
0.09,390
0.11,391
0.17,392
0.23,393
0.17,394
0.1,395
0.21,396
0.12,397
0.25,398
0.16,399
0.07,400
