"","channel_name","marker_name","marker_class"
"BC104","Pd104Di","BC104","none"
"BC105","Pd105Di","BC105","none"
"BC106","Pd106Di","BC106","none"
"BC108","Pd108Di","BC108","none"
"BC110","Pd110Di","BC110","none"
"CD45","Y89Di","CD45","none"
"Pr141Di","Pr141Di","Pr141Di","none"
"CD19","Nd142Di","CD19","type"
"Nd143Di","Nd143Di","Nd143Di","none"
"Nd144Di","Nd144Di","Nd144Di","none"
"Nd145Di","Nd145Di","Nd145Di","none"
"CD64","Nd146Di","CD64","type"
"CD303","Sm147Di","CD303","type"
"CD34","Sm148Di","CD34","type"
"CD141","Sm149Di","CD141","type"
"CD61","Sm150Di","CD61","type"
"CD123","Eu151Di","CD123","type"
"CD66b","Gd152Di","CD66b","type"
"CD62L","Eu153Di","CD62L","type"
"ICAM-1","Gd154Di","ICAM-1","type"
"CD1c","Gd155Di","CD1c","type"
"CD86","Gd156Di","CD86","type"
"Gd157Di","Gd157Di","Gd157Di","none"
"Gd158Di","Gd158Di","Gd158Di","none"
"Tb159Di","Tb159Di","Tb159Di","none"
"CD14","Gd160Di","CD14","type"
"Dy161Di","Dy161Di","Dy161Di","none"
"CD11c","Dy162Di","CD11c","type"
"CD7","Dy163Di","CD7","type"
"Dy164Di","Dy164Di","Dy164Di","none"
"CD16","Ho165Di","CD16","type"
"CD209","Er166Di","CD209","type"
"CD38","Er167Di","CD38","type"
"Er168Di","Er168Di","Er168Di","none"
"CD33","Tm169Di","CD33","type"
"CD3","Yb170Di","CD3","type"
"Yb171Di","Yb171Di","Yb171Di","none"
"Yb172Di","Yb172Di","Yb172Di","none"
"CD56","Yb173Di","CD56","type"
"HLA-DR","Yb174Di","HLA-DR","type"
"CD274_PDL1","Lu175Di","CD274_PDL1","type"
"Yb176Di","Yb176Di","Yb176Di","none"
"CD11b","Bi209Di","CD11b","type"
"DNA1","Ir191Di","DNA1","none"
"DNA2","Ir193Di","DNA2","none"
"Dead","Pt198Di","Dead","none"
