clustering_prop,cluster
0.15,1
0.19,2
0.18,3
0.13,4
0.27,5
0.3,6
0.19,7
0.37,8
0.34,9
0.34,10
0.21,11
0.15,12
0.27,13
0.19,14
0.08,15
0.28,16
0.28,17
0.35,18
0.42,19
0.44,20
0.11,21
0.17,22
0.19,23
0.04,24
0.17,25
0.29,26
0.2,27
0.36,28
0.35,29
0.38,30
0.34,31
0.3,32
0.36,33
0.23,34
0.14,35
0.3,36
0.28,37
0.33,38
0.32,39
0.35,40
0.14,41
0.17,42
0.17,43
0.19,44
0.27,45
0.27,46
0.32,47
0.26,48
0.3,49
0.35,50
0.3,51
0.35,52
0.38,53
0.25,54
0.09,55
0.12,56
0.3,57
0.28,58
0.13,59
0.23,60
0.14,61
0.22,62
0.23,63
0.35,64
0.25,65
0.33,66
0.31,67
0.41,68
0.31,69
0.48,70
0.37,71
0.37,72
0.41,73
0.24,74
0.2,75
0.14,76
0.23,77
0.31,78
0.21,79
0.27,80
0.26,81
0.27,82
0.23,83
0.33,84
0.2,85
0.38,86
0.08,87
0.39,88
0.37,89
0.41,90
0.3,91
0.28,92
0.3,93
0.39,94
0.3,95
0.16,96
0.48,97
0.07,98
0.19,99
0.26,100
0.19,101
0.29,102
0.28,103
0.26,104
0.17,105
0.04,106
0.41,107
0.41,108
0.37,109
0.42,110
0.35,111
0.38,112
0.32,113
0.3,114
0.21,115
0.15,116
0.14,117
0.22,118
0.26,119
0.13,120
0.3,121
0.23,122
0.24,123
0.12,124
0.18,125
0.22,126
0.29,127
0.45,128
0.36,129
0.4,130
0.32,131
0.32,132
0.26,133
0.36,134
0.26,135
0.14,136
0.13,137
0.09,138
0.15,139
0.03,140
0.02,141
0.05,142
0.06,143
0.03,144
0.23,145
0.35,146
0.36,147
0.3,148
0.38,149
0.32,150
0.37,151
0.28,152
0.14,153
0.26,154
0.22,155
0.24,156
0.25,157
0.24,158
0.29,159
0.25,160
0.16,161
0.08,162
0.07,163
0.07,164
0.04,165
0.1,166
0.28,167
0.37,168
0.29,169
0.31,170
0.3,171
0.26,172
0.23,173
0.13,174
0.08,175
0.21,176
0.22,177
0.33,178
0.29,179
0.32,180
0.22,181
0.28,182
0.05,183
0.07,184
0.04,185
0.05,186
0.32,187
0.13,188
0.3,189
0.31,190
0.39,191
0.24,192
0.01,193
0.15,194
0.16,195
0.15,196
0.22,197
0.17,198
0.15,199
0.17,200
0.45,201
0.42,202
0.2,203
0.26,204
0.08,205
0.12,206
0.11,207
0.04,208
0.25,209
0.32,210
0.06,211
0.22,212
0.09,213
0.11,214
0.16,215
0.18,216
0.15,217
0.21,218
0.19,219
0.19,220
0.43,221
0.43,222
0.35,223
0.14,224
0.33,225
0.33,226
0.14,227
0.31,228
0.42,229
0.51,230
0.14,231
0.14,232
0.16,233
0.15,234
0.17,235
0.15,236
0.29,237
0.23,238
0.22,239
0.03,240
0.59,241
0.35,242
0.48,243
0.37,244
0.31,245
0.39,246
0.33,247
0.19,248
0.25,249
0.17,250
0.09,251
0.29,252
0.14,253
0.15,254
0.16,255
0.25,256
0.52,257
0.21,258
0.28,259
0.24,260
0.5,261
0.51,262
0.5,263
0.3,264
0.38,265
0.35,266
0.39,267
0.24,268
0.21,269
0.13,270
0.38,271
0.23,272
0.11,273
0.22,274
0.2,275
0.28,276
0.29,277
0.31,278
0.37,279
0.07,280
0.22,281
0.47,282
0.46,283
0.45,284
0.21,285
0.25,286
0.24,287
0.27,288
0.34,289
0.21,290
0.24,291
0.05,292
0.22,293
0.2,294
0.34,295
0.36,296
0.62,297
0.4,298
0.27,299
0.13,300
0.27,301
0.29,302
0.39,303
0.29,304
0.27,305
0.18,306
0.26,307
0.27,308
0.29,309
0.25,310
0.29,311
0.08,312
0.21,313
0.2,314
0.44,315
0.25,316
0.19,317
0.13,318
0.24,319
0.22,320
0.13,321
0.24,322
0.4,323
0.27,324
0.25,325
0.27,326
0.13,327
0.21,328
0.28,329
0.26,330
0.29,331
0.02,332
0.22,333
0.25,334
0.41,335
0.27,336
0.12,337
0.05,338
0.31,339
0.33,340
0.18,341
0.31,342
0.31,343
0.31,344
0.32,345
0.2,346
0.24,347
0.23,348
0.18,349
0.22,350
0.34,351
0.05,352
0.26,353
0.41,354
0.17,355
0.06,356
0.04,357
0.27,358
0.15,359
0.5,360
0.22,361
0.35,362
0.31,363
0.14,364
0.2,365
0.25,366
0.2,367
0.14,368
0.18,369
0.23,370
0.13,371
0.04,372
0.08,373
0.32,374
0.24,375
0.2,376
0.32,377
0.07,378
0.29,379
0.51,380
0.22,381
0.31,382
0.32,383
0.26,384
0.34,385
0.22,386
0.26,387
0.22,388
0.18,389
0.05,390
0.13,391
0.1,392
0.18,393
0.21,394
0.16,395
0.36,396
0.43,397
0.54,398
0.26,399
0.54,400
