hc1,pd1,pd2,hc2,hc3,hc4,hc5,pd4,pd5,pd6,pd7,hc8,hc9,pd8,hc7,pd10,pd9,hc10,pd11,pd12,hc11,pd13,pd14,hc12,pd15,hc13,pd16,pd17,hc14,hc15,hc16,pd19,pd20,hc17,pd21,hc18,hc19,pd22,hc_100,pd23,pc24,hc21,pd25,pd26,hc22,pd27,pd29,hc23,pd28
176,421,87,1376,629,490,841,268,157,798,348,1077,222,192,0,92,315,21,618,178,27,310,172,57,405,217,305,88,42,40,300,51,108,57,16,45,272,30,28,79,72,17,201,7,12,80,225,223,90
179,199,115,313,230,532,2191,194,87,380,321,685,153,162,0,68,205,16,652,254,10,272,117,50,717,45,141,51,10,34,57,11,52,18,6,10,209,42,24,26,114,16,138,11,10,62,412,290,116
2,63,36,75,60,422,10919,0,15,254,487,964,67,126,0,7,14,1,402,13,0,20,44,19,315,0,74,22,1,12,4,21,3,4,0,4,41,1,5,1,46,5,4,0,0,9,212,17,7
2,363,33,51,271,2839,7363,3,41,1251,388,789,811,404,0,43,121,2,310,74,8,190,419,31,184,29,337,196,6,20,15,136,22,38,3,0,138,34,99,6,52,57,23,0,0,17,104,49,24
1,55,21,75,75,1855,2713,0,24,341,2451,1303,345,180,0,4,26,1,71,0,31,17,140,215,115,123,707,1358,125,150,58,1355,22,144,4,4,558,81,330,43,591,250,951,0,0,51,906,463,73
1,347,104,537,674,2160,5182,1,96,595,1177,2096,1052,290,0,13,8,38,42,32,86,46,305,712,463,274,1698,475,38,208,34,435,88,106,21,4,398,105,280,30,419,25,28,0,1,279,245,73,38
3,780,73,282,567,5728,592,6,358,1686,300,532,1028,621,0,72,104,76,71,265,220,192,555,198,112,146,902,923,1,25,199,731,145,445,295,17,292,155,645,141,196,841,36,0,16,89,28,157,47
11,1108,182,264,1048,3581,102,56,438,2719,67,251,743,587,0,180,290,198,40,1395,215,888,696,138,169,130,390,245,3,15,460,133,187,301,614,4,150,360,470,236,510,716,44,65,216,154,34,763,166
8,932,178,334,1035,4292,1282,69,331,1936,258,972,700,400,0,47,133,56,12,338,51,645,738,161,288,198,648,257,6,43,227,156,185,151,78,6,329,726,298,132,263,174,40,34,30,364,221,662,289
34,5957,321,90,767,1618,263,148,457,1423,17,35,72,1658,0,242,540,444,50,2441,7,3929,342,38,771,27,76,21,1,3,520,7,115,25,101,5,192,106,78,22,48,83,32,206,119,219,40,97,137
8,11439,1511,148,457,45,1012,52,486,117,47,20,25,20,0,440,45,532,15,385,3,229,51,43,791,7,145,17,20,16,45,15,198,7,34,1,223,14,82,0,55,0,3,301,47,350,170,14,199
3,1571,870,328,2473,304,87,18,787,328,26,63,141,214,0,129,9,1914,2,1032,146,326,590,273,565,70,263,103,90,80,628,119,310,116,272,48,460,186,446,215,99,36,47,296,763,1419,92,100,619
15,467,483,362,877,2404,251,143,684,1184,173,158,604,659,0,273,87,34,2,522,162,2160,1628,177,936,70,340,324,44,129,1056,167,391,174,269,3,459,321,324,519,274,672,257,250,238,158,53,415,519
1,1240,620,8,178,40,4,188,31,41,1,2,9,175,0,64,12,105,0,1349,11,1052,77,32,168,13,28,2,23,6,293,2,89,28,35,1,61,105,30,46,10,66,13,13932,312,441,50,133,1194
0,549,1259,55,481,8,32,7,375,125,6,10,65,17,0,424,12,317,4,321,40,454,121,130,721,14,110,27,146,115,243,9,561,11,279,0,202,368,79,21,119,1,46,11056,674,520,44,85,475
0,102,1348,8,138,20,1,23,90,114,0,2,47,472,0,188,11,203,3,1152,77,1542,295,70,469,14,28,13,42,12,2160,8,221,56,235,5,101,258,20,536,46,156,446,9463,820,395,19,331,531
0,247,503,70,220,659,71,26,136,381,148,366,138,804,0,30,53,51,0,153,156,468,260,389,657,169,297,192,78,48,1182,51,142,231,287,0,597,2128,125,907,512,358,464,700,113,1050,987,4211,2824
5,59,622,446,1242,1058,29,41,1241,1224,120,410,344,391,0,83,159,414,1,505,450,661,1182,138,267,83,108,149,6,30,1842,197,177,78,287,6,147,1018,297,1845,404,177,255,218,735,255,45,1352,404
22,1650,1172,104,693,694,16,1693,862,441,12,14,85,1783,0,83,40,1186,7,5061,35,2134,395,38,169,14,19,10,3,1,397,14,85,47,172,1,27,63,67,114,16,58,7,673,528,154,11,209,90
0,114,373,121,1158,196,1,16,574,688,3,33,156,246,0,23,7,1615,0,2597,863,408,404,76,44,68,122,55,1,4,425,62,166,247,4209,2,34,152,290,448,105,119,5,313,2506,99,2,271,36
0,4,243,102,353,137,0,6,212,487,7,40,442,1168,0,187,82,222,4,1104,2128,650,832,134,77,47,96,202,1,19,1421,94,137,231,792,8,76,1328,118,3650,132,1741,55,348,1321,82,3,495,126
0,24,360,94,1395,19,0,0,140,110,3,20,105,183,0,77,1,1946,0,771,1604,78,432,400,77,63,120,177,155,70,869,208,230,223,926,150,186,604,375,1677,91,289,49,945,3621,1003,8,208,699
0,0,37,774,451,45,3,0,132,80,32,161,1844,55,0,30,3,103,0,13,5071,7,342,1154,29,429,360,1459,329,676,96,1711,236,235,1634,22,134,454,949,1604,356,131,42,7,253,67,4,156,30
0,1,35,53,248,12,1,0,64,103,1,10,167,73,0,37,14,92,0,169,1115,95,221,26,19,36,38,203,39,17,185,119,113,145,17357,1,20,95,188,335,49,245,11,252,1061,26,0,283,52
