filename,sample_id,condition
ZIKV_Exp1_Panel2_28_1_II_live.fcs,P1,infected
ZIKV_Exp1_Panel2_31_1_V_live.fcs,P2,infected
ZIKV_Exp1_Panel2_36_1_III_live.fcs,P3,infected
ZIKV_Exp1_Panel2_47_1_I_live.fcs,P4,infected
ZIKV_Exp1_Panel2_6_1_I_live.fcs,P5,infected
ZIKV_Exp1_Panel2_UI10_1_UI_live.fcs,P26,uninfected
ZIKV_Exp1_Panel2_UI9_1_UI_live.fcs,P27,uninfected
ZIKV_Exp2_Panel2_10_1_IV_live.fcs,P6,infected
ZIKV_Exp2_Panel2_20_1_I_live.fcs,P7,infected
ZIKV_Exp2_Panel2_25_1_II_live.fcs,P8,infected
ZIKV_Exp2_Panel2_26_1_IV_live.fcs,P9,infected
ZIKV_Exp2_Panel2_32_1_I_live.fcs,P10,infected
ZIKV_Exp2_Panel2_33_1_II_live.fcs,P11,infected
ZIKV_Exp2_Panel2_UI3_0_UI_live.fcs,P28,uninfected
ZIKV_Exp2_Panel2_UI4_0_UI_live.fcs,P29,uninfected
ZIKV_Exp4_Panel2_12_1_V_live.fcs,P12,infected
ZIKV_Exp4_Panel2_23_1_II_live.fcs,P13,infected
ZIKV_Exp4_Panel2_29_1_II_live.fcs,P14,infected
ZIKV_Exp4_Panel2_7_1_II_live.fcs,P17,infected
ZIKV_Exp4_Panel2_8_1_V_live.fcs,P18,infected
ZIKV_Exp4_Panel2_9_1_I_live.fcs,P19,infected
ZIKV_Exp4_Panel2_UI7_0_UI_live.fcs,P30,uninfected
ZIKV_Exp4_Panel2_UI8_0_UI_live.fcs,P31,uninfected
ZIKV_Exp5_Panel2_1_1_II_live.fcs,P20,infected
ZIKV_Exp5_Panel2_11_1_II_live.fcs,P21,infected
ZIKV_Exp5_Panel2_13_1_II_live.fcs,P22,infected
ZIKV_Exp5_Panel2_17_1_I_live.fcs,P23,infected
ZIKV_Exp5_Panel2_18_1_II_live.fcs,P24,infected
ZIKV_Exp5_Panel2_4_1_II_live.fcs,P25,infected
ZIKV_Exp5_Panel2_UI1_0_UI_live.fcs,P32,uninfected
ZIKV_Exp5_Panel2_UI2_0_UI_live.fcs,P33,uninfected
